id_oferta,cargo,empresa,ciudad,salario_publicado,salario_mensual_base,segmento_salarial,experiencia_requerida,nivel_experiencia,educacion_minima,educacion_minima_valor,modalidad,es_remoto,es_presencial,tipo_contrato,jornada,tiempo_parcial,menciones_tecnologia
00FA9FB629088DB061373E686DCF3405,Analista (General),Innova Schools,La Victoria,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato de Temporada,Completa,0,4
7E6A290E692C760A61373E686DCF3405,Analista de Contabilidad / Nóminas,Adecco Perú S.A.,Lima,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato de Suplencia,Completa,0,4
C30D10F65BF2CA7F61373E686DCF3405,Analista de Créditos y Cobranzas,Coopac Kori,San Martin De Porres,0,,,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
76C1A8D3B6CF5D7161373E686DCF3405,Otros / No Especificado,Coopac Kori,Pueblo Libre,0,,,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
4295AB785CC9B87761373E686DCF3405,Otros de Créditos y Cobranzas,Coopac Kori,San Juan De Lurigancho,1,1530.0,Alto,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
EB0F4A964799E23761373E686DCF3405,Otros de Calidad / SSOMA,CALOX VITAPHARMA SAC,Lurin,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,3
7C34C38A9929757061373E686DCF3405,Analista (General),Operador Logistico Sebastian Andre,Lurigancho,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
6417322020A46A9F61373E686DCF3405,Analista de QA / Testing,Informática Delta,San Isidro,0,,,1,Junior,universitario,4,Híbrido,1,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,4
A365E6FAF50FB64E61373E686DCF3405,Analista (General),Importante empresa del sector,San Isidro,0,,,3,Mid-Level,universitario,4,Híbrido,1,1,Contrato a Plazo Indeterminado,Completa,0,5
CFA2D5B1C222E06861373E686DCF3405,Analista (General),Manpower,Lima,0,,,3,Mid-Level,universitario,4,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
